"","tau","beta","kappa","psi"
"448",0.373551571068685,0.717881288729492,0.808631367280387,0.727566009322624
"449",1.35353305677212,0.168451754239038,0.278500502786715,0.34262331821864
"450",1.09903050593408,0.633084309397145,0.463364010774373,0.426421172069368
"451",0.438280398919922,0.759514684526748,0.792087097286565,0.787345459568357
"452",1.07567664842253,0.553300586601736,0.472707525283074,0.43953972737581
"453",0.578044127610043,0.82215890605959,0.718850132485388,0.571530073504537
"454",1.00089932642563,0.380718522682952,0.536620682210356,0.456729356261959
"455",0.809135604415766,0.535009658238381,0.621545554529576,1.00351778492976
"456",0.440977204335859,0.756676764819168,0.794512020346757,1.10871120314734
"457",0.348890839046507,0.754937675538672,0.795970269563446,0.791860491552388
"458",0.528964129304919,0.807737435554207,0.739938972809774,0.87046830807702
"459",1.32878290193235,0.490179435299687,0.431658296863838,0.540232830913444
"460",0.806419089674159,0.517863037876282,0.61415354561045,0.572119214890705
"461",0.906969909076185,0.530672609862942,0.560576594439833,0.606812574914923
"462",0.509325016515846,0.681866339327383,0.749347924942989,0.819326662111439
"463",0.448529883005422,0.769023193491998,0.783528048742557,0.841065313887227
"464",1.31100032578405,0.197224349707864,0.352911981350421,0.381595090656276
"465",1.23290835511681,0.402766218827816,0.427619148042336,0.388179482811898
"466",1.35050331189423,0.369476702311301,0.311670075487143,0.290988716322532
"467",1.39707779163375,0.375067380318451,0.263921079223527,0.219219903992888
"468",0.993602066412365,0.66795226090193,0.529098546723997,0.543019682189406
"469",1.01778340592134,0.502993714464094,0.470456084328126,0.553764111716812
"470",0.951828125490011,0.333753273540576,0.518792656476233,0.537150383556315
"471",0.679832088210306,0.845844287409422,0.675652629670656,0.746688982921279
"472",1.45463250741755,0.455775539099805,0.34357738834948,0.362613495020752
"473",1.19120525886147,0.423343736320816,0.370398911806836,0.559432928975733
"474",0.992766213912252,0.368814088094169,0.514302243682851,0.528698770981918
"475",1.09422985229857,0.3707862346707,0.4462399532902,0.305541824499613
"476",0.459855983126804,0.784715207298496,0.767749503471311,0.88431506599905
"477",1.27161534083892,0.279445113254818,0.357770029879331,0.256235495897815
"478",1.06474777761784,0.160849741562865,0.372200602819669,0.300101075203478
"479",0.868663279512639,0.452054577252205,0.537945064089022,0.440938892004155
"480",0.45535821794627,0.769631916443467,0.782956044830186,1.70041631798599
"481",1.06089437773451,0.593396408017114,0.473240130221198,0.151414327370974
"482",0.922738128439835,0.570146757788035,0.550322549493258,0.43558222016987
"483",0.405999410365988,0.753940529347209,0.796797091908915,1.50105064758702
"484",0.795069547106954,0.671058763044414,0.634954294257597,0.511895537881535
"485",0.921777641821845,0.60436176775825,0.526321869567397,0.706576435932724
"486",1.11986452584294,0.405587778708823,0.485356375991297,0.408115215957191
"487",1.2812688589327,0.185828944012849,0.35872429482848,0.321106566274684
"488",1.02947229043176,0.55728019244949,0.525588806252645,0.809473881594264
"489",1.14521699651097,0.396857994649123,0.334176164819206,0.310254544126078
"490",1.19848548007644,0.396426408784217,0.327449225546332,0.343801320273617
"491",0.984070844436631,0.285023655937604,0.452076367240183,0.651531885149686
"492",0.923832723818241,0.372259385038993,0.53622855230008,0.741997723711627
"493",1.29937917840769,0.223142187017582,0.354185299002144,0.296962269106472
"494",0.552100710015586,0.688403351481357,0.728029206888874,0.952410479503937
"495",1.02429540276623,0.35667907687179,0.47793302611303,0.775200396017593
"496",1.60059662722524,0.173085272890668,0.204474837363202,0.0775444148582023
"497",0.720620938596419,0.493706742827936,0.643961986859477,1.00760271745559
"498",1.27335068235879,0.175436574873535,0.3854485123751,0.490791466604114
"499",1.22525404526278,0.507681598280877,0.432227041120121,0.444977426873744
"500",1.0536457366436,0.423485093657972,0.497785635536892,0.563100859141547
"501",0.964921234356593,0.565251814990156,0.54527745789039,0.643442648877709
"502",0.336278352146063,0.738014655306347,0.809149629883052,1.12358764107639
"503",1.49580730555126,0.212093982242436,0.281552687055111,0.119647205013232
"504",0.87311556177187,0.409348736352261,0.609518979529575,0.784564942941837
"505",1.14354151678679,0.438092053419427,0.39622939979578,0.338700749740838
"506",0.705197112116499,0.603038748845309,0.687412627607935,0.618972597146018
"507",1.10513917980227,0.457856504633513,0.454521628922868,0.413799148433551
"508",0.981638088426614,0.584162292242638,0.562939408536681,0.542824479413832
"509",1.05851708012371,0.423102853262394,0.38955185690674,0.359399394772593
"510",0.969439922880972,0.484993691765593,0.521027706086476,0.49219089709328
"511",1.32493894422792,0.150881116239058,0.303396979901199,0.284528583124068
"512",0.491350974432003,0.810929447921841,0.735548452942948,0.659505448924618
"513",0.889887971504652,0.399709575842615,0.462628036531007,0.312386774984012
"514",0.781816341793895,0.555222382874261,0.612962207032725,1.00733652123275
"515",1.51909502347085,0.206288266881624,0.319401871204818,0.384627062489249
"516",0.923803215781855,0.387204720430466,0.546265611109109,0.564961081376032
"517",1.07461234494197,0.638480827496023,0.535202272948973,0.601285099730075
"518",1.30683007927072,0.203470828545906,0.365616466373437,0.339512216810856
"519",1.54983234242276,0.269738120584087,0.289719366442363,0.466287923114871
"520",0.430176770702198,0.781485179112393,0.771182568775427,1.61874186974382
"521",0.455404663819388,0.796005602531897,0.754895229376002,0.891183545873195
"522",1.20007667421086,0.492196525773955,0.458449154236977,0.474913203241913
"523",0.907417971674078,0.300085883953512,0.513187783436654,0.231269066442617
"524",1.12212362282391,0.344238682904599,0.457911293321784,0.395509726032124
"525",0.495435723948256,0.691180893197037,0.753514565199873,0.856261155979462
"526",0.924296189941862,0.540167443700434,0.509396926782451,0.536105193063978
"527",1.28321492349367,0.474564243691844,0.360311603442836,0.366894505226828
"528",0.840224647330716,0.555501902992491,0.579045767870383,0.490843465370374
"529",1.27242218313845,0.0258251265196413,0.344112276732756,0.390718845162181
"530",1.29409233278438,0.225317119157603,0.301246040613184,0.215705929459873
"531",0.363296676873457,0.737404699594239,0.809592936649132,1.20486547346437
"532",0.454371704765549,0.77089242373991,0.78176190933451,0.964786730454839
"533",1.15693407635874,0.354717080552123,0.497858473802632,0.43389213820969
"534",1.12712338731332,0.517176895019488,0.437001305038302,0.623644831147302
"535",1.29192328535109,0.472338022579217,0.384211970757346,0.172056928383779
"536",1.19662717852626,0.482443547738293,0.411108671985106,0.341095296274429
"537",1.03626702986062,0.577770558856327,0.481347832902592,0.482627443409625
"538",0.970911016237595,0.475766771054106,0.560275807863408,0.757432821137146
"539",0.813554224359568,0.328680297570536,0.59281570352374,0.737741678185691
"540",0.972695584239901,0.554395758612286,0.420324443242014,0.355175671735223
"541",1.11545098577159,0.382695007093238,0.489729649692777,0.645085279074195
"542",0.941600430661777,0.535271320932965,0.515138810163864,0.674348889194742
"543",1.08765080782226,0.459642281788227,0.406951576978047,0.311168676787106
"544",1.37184855690167,0.293645684425293,0.37756417563445,0.412157845426073
"545",0.433086919492316,0.681630062300913,0.802423850596571,1.15035566779243
